Id,Label,timeset,num_minutes,avg_hour,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
354,YBZt3,,0.409002,6.666667,0,0,0,0,0,0,0
355,LXQE,,0.408838,19.5,0,0,0,0,0,0,0
356,NKSP1,,0.392799,17,0,0,0,0,0,0,0
357,EVBST,,0.392635,14,0,0,0,0,0,0,0
358,ZNOIG,,0.392635,15,0,0,0,0,0,0,0
359,DGTVT,,0.392635,19.666667,0,0,0,0,0,0,0
360,SAE,,0.392635,20.5,0,0,0,0,0,0,0
361,BZW1,,0.376268,20,0,0,0,0,0,0,0
362,BNVCL,,0.343535,19,0,0,0,0,0,0,0
363,NKSP2,,0.294599,17.5,0,0,0,0,0,0,0
364,BZW2,,0.294435,18.666667,0,0,0,0,0,0,0
365,MAR09,,0.261538,22,0,0,0,0,0,0,0
366,NKS36,,0.245499,15,0,0,0,0,0,0,0
367,RKBAK,,0.229133,19.5,0,0,0,0,0,0,0
368,KCEJZ,,0.228969,15.5,0,0,0,0,0,0,0
369,HKGLS,,0.212602,22,0,0,0,0,0,0,0
370,FNXPL,,0.212602,19,0,0,0,0,0,0,0
371,MSM8,,0.196236,18,0,0,0,0,0,0,0
372,NKS5,,0.196236,20,0,0,0,0,0,0,0
373,ZHRXW,,0.1473,21,0,0,0,0,0,0,0
374,RSNW1,,0.0982,17,0,0,0,0,0,0,0
375,TKL,,0.0982,22,0,0,0,0,0,0,0
376,TZJ,,0.0982,15,0,0,0,0,0,0,0
377,SSVAX,,0.098036,21,0,0,0,0,0,0,0
378,NKS34,,0.081833,20,0,0,0,0,0,0,0
379,CVXKI,,0.081669,17,0,0,0,0,0,0,0
380,exit,,,,154,0,154,0,0,0,0
